date,open,high,low,close,volume,symbol
20230626,6499.0,6519.2,6402.0,6427.2,44330,IM0
20230627,6434.0,6504.8,6422.8,6478.4,34201,IM0
20230628,6478.4,6478.4,6360.0,6463.0,44033,IM0
20230629,6453.0,6510.2,6447.0,6491.8,30886,IM0
20230630,6481.8,6596.0,6481.8,6575.0,30629,IM0
20230703,6599.0,6626.0,6556.8,6583.6,28321,IM0
20230704,6581.6,6614.0,6580.0,6613.4,19966,IM0
20230705,6609.6,6616.0,6552.8,6566.2,25538,IM0
20230706,6557.0,6606.8,6532.0,6535.6,28834,IM0
20230707,6531.6,6538.8,6468.2,6513.0,34158,IM0
20230710,6538.0,6551.8,6489.2,6520.4,25605,IM0
20230711,6528.2,6580.0,6508.4,6571.0,26892,IM0
20230712,6574.4,6578.0,6477.8,6483.8,30497,IM0
20230713,6501.2,6561.2,6501.2,6549.6,33558,IM0
20230714,6562.0,6571.6,6539.0,6541.0,23532,IM0
20230717,6521.2,6529.8,6474.0,6514.8,27095,IM0
20230718,6519.0,6538.2,6482.2,6515.0,28836,IM0
20230719,6510.2,6532.6,6464.0,6501.0,27906,IM0
20230720,6539.4,6539.4,6409.0,6416.2,28236,IM0
20230721,6402.4,6454.2,6383.0,6407.0,37502,IM0
20230724,6394.0,6445.4,6377.8,6393.6,24661,IM0
20230725,6477.0,6513.0,6455.0,6497.6,33597,IM0
20230726,6494.8,6495.8,6446.8,6468.4,23883,IM0
20230727,6470.2,6489.0,6403.6,6421.0,25942,IM0
20230728,6397.6,6491.2,6380.0,6473.6,36381,IM0
20230731,6495.0,6576.0,6486.6,6524.6,36386,IM0
20230801,6518.6,6539.6,6497.2,6509.0,25933,IM0
20230802,6501.6,6522.8,6470.0,6495.8,27477,IM0
20230803,6476.4,6500.0,6457.4,6495.6,26270,IM0
20230804,6520.6,6576.0,6503.8,6534.6,36472,IM0
20230807,6525.2,6549.0,6501.0,6515.6,25260,IM0
20230808,6502.4,6514.2,6456.2,6484.8,28508,IM0
20230809,6457.0,6480.0,6423.4,6433.2,24391,IM0
20230810,6423.0,6453.8,6397.4,6424.6,25321,IM0
20230811,6431.8,6435.8,6301.6,6304.0,32185,IM0
20230814,6246.0,6329.8,6212.8,6323.2,36541,IM0
20230815,6336.0,6336.4,6204.8,6268.2,35306,IM0
20230816,6245.0,6263.4,6188.6,6188.6,28738,IM0
20230817,6181.0,6273.0,6130.8,6243.8,28075,IM0
20230818,6259.0,6280.6,6123.2,6127.4,51556,IM0
20230821,6119.4,6169.6,5910.4,6053.8,49495,IM0
20230822,6093.8,6108.8,5973.0,6084.0,56411,IM0
20230823,6071.2,6075.0,5955.6,5974.8,46053,IM0
20230824,6003.2,6051.6,5948.0,5977.6,48013,IM0
20230825,5950.0,5986.2,5851.0,5881.8,60560,IM0
20230828,6230.0,6230.0,5888.2,5907.6,74218,IM0
20230829,5908.0,6143.8,5904.8,6099.2,76913,IM0
20230830,6121.0,6203.6,6103.0,6128.2,59262,IM0
20230831,6124.4,6138.8,6081.6,6110.6,44355,IM0
20230901,6123.4,6148.8,6081.8,6103.0,37772,IM0
20230904,6130.0,6198.0,6100.2,6198.0,49221,IM0
20230905,6190.0,6208.8,6143.0,6162.2,37506,IM0
20230906,6145.0,6207.0,6096.4,6178.8,40919,IM0
20230907,6160.0,6170.8,6068.0,6077.2,49425,IM0
20230908,6050.4,6111.0,6050.4,6075.4,41430,IM0
20230911,6093.0,6198.2,6058.0,6165.0,53983,IM0
20230912,6165.0,6197.4,6153.4,6172.2,38208,IM0
20230913,6158.0,6165.4,6041.4,6094.0,50989,IM0
20230914,6093.0,6093.6,6031.2,6077.2,38289,IM0
20230915,6088.0,6122.4,6047.2,6066.6,20135,IM0
20230918,6040.0,6107.0,6019.2,6083.6,45674,IM0
20230919,6078.2,6079.6,6010.0,6039.2,37431,IM0
20230920,6020.0,6043.8,5985.0,5987.2,29923,IM0
20230921,5970.0,6006.2,5928.4,5941.8,38129,IM0
20230922,5941.6,6068.0,5925.2,6065.0,52998,IM0
20230925,6055.2,6070.0,6009.8,6031.4,34272,IM0
20230926,6021.6,6038.2,6000.8,6007.2,27754,IM0
20230927,6005.0,6080.0,5997.8,6050.2,38721,IM0
20230928,6063.4,6078.4,6045.0,6075.0,31072,IM0
20231009,6075.0,6079.6,6017.0,6055.0,36957,IM0
20231010,6074.2,6094.8,6028.4,6033.8,29619,IM0
20231011,6059.8,6114.4,6026.0,6040.4,39897,IM0
20231012,6078.0,6096.8,6052.0,6093.0,33395,IM0
20231013,6069.0,6085.6,6058.4,6084.2,24927,IM0
20231016,6090.2,6092.0,5995.0,6013.4,36887,IM0
20231017,6020.2,6024.4,5961.0,6006.6,35111,IM0
20231018,5990.0,5990.0,5894.0,5904.6,37469,IM0
20231019,5884.2,5926.8,5837.6,5845.2,33707,IM0
20231020,5820.0,5848.4,5741.8,5766.2,45404,IM0
20231023,5751.4,5751.4,5571.2,5602.0,48848,IM0
20231024,5622.6,5725.0,5588.8,5675.2,52659,IM0
20231025,5725.0,5792.8,5725.0,5739.6,35641,IM0
20231026,5720.4,5804.2,5702.0,5780.8,42229,IM0
