date,close,open,high,low,volume,symbol
20230602,1149.5443,1134.028,1154.079,1131.5614,1199471.0,000689.SH
20230601,1132.4473,1127.3506,1142.2824,1121.2686,1113621.0,000689.SH
20230531,1128.1665,1131.3597,1134.0376,1122.3333,1018450.0,000689.SH
20230530,1130.7253,1139.555,1139.555,1117.6697,970087.0,000689.SH
20230529,1138.7097,1152.0968,1155.6006,1136.7773,1257304.0,000689.SH
20230526,1145.337,1154.3749,1154.9369,1139.1477,885165.0,000689.SH
20230525,1153.9389,1147.9778,1158.0317,1143.0953,971407.0,000689.SH
20230524,1150.0278,1140.3938,1161.1583,1135.9658,999259.0,000689.SH
20230523,1142.993,1156.9192,1161.9673,1142.888,904520.0,000689.SH
20230522,1157.8406,1155.8192,1165.1163,1149.4103,921979.0,000689.SH
20230519,1153.2441,1139.3061,1155.0867,1134.9955,1108301.0,000689.SH
20230518,1139.4867,1150.4535,1154.1769,1131.7398,1033442.0,000689.SH
20230517,1148.3959,1141.9505,1149.4654,1137.2437,911164.0,000689.SH
20230516,1141.7819,1142.882,1145.3821,1135.588,961175.0,000689.SH
20230515,1142.5189,1121.0988,1143.3285,1121.0988,1176760.0,000689.SH
20230512,1120.802,1142.3186,1152.357,1120.6003,1279294.0,000689.SH
20230511,1142.016,1142.1291,1155.4175,1139.9713,1017082.0,000689.SH
20230510,1138.3652,1133.2539,1147.8352,1124.6265,1275813.0,000689.SH
20230509,1133.05,1161.1137,1161.472,1132.5009,1471565.0,000689.SH
20230508,1160.8446,1163.9415,1169.8954,1156.0893,1257426.0,000689.SH
20230505,1164.0086,1181.4426,1181.4426,1162.4173,1299388.0,000689.SH
20230504,1183.2387,1189.1551,1199.0112,1178.7149,1476496.0,000689.SH
20230428,1195.5635,1185.6759,1212.0348,1185.6759,2053450.0,000689.SH
20230427,1185.6837,1177.6542,1195.6677,1175.4312,1545803.0,000689.SH
20230426,1180.544,1160.7154,1191.8082,1160.7124,1927383.0,000689.SH
20230425,1165.1291,1201.8287,1202.9046,1156.9726,2216917.0,000689.SH
20230424,1208.1337,1239.0662,1240.6725,1202.0156,2133270.0,000689.SH
20230421,1240.9587,1271.8362,1278.9035,1240.9587,2485540.0,000689.SH
20230420,1273.8477,1282.5451,1283.7262,1260.3567,2239382.0,000689.SH
20230419,1288.4889,1297.9352,1299.161,1281.1045,1570638.0,000689.SH
20230418,1298.5096,1313.3247,1314.311,1295.1376,1578321.0,000689.SH
20230417,1314.4452,1307.8042,1330.1956,1307.8042,2042361.0,000689.SH
20230414,1306.9667,1269.3278,1310.2284,1269.3278,2014415.0,000689.SH
20230413,1268.0429,1287.2998,1287.2998,1267.7879,1517917.0,000689.SH
20230412,1287.7398,1289.1844,1294.8883,1283.9969,1411621.0,000689.SH
20230411,1289.9998,1300.8896,1300.9884,1282.3182,1420858.0,000689.SH
20230410,1301.1182,1310.9887,1312.958,1296.6464,1778137.0,000689.SH
20230407,1304.8963,1298.0745,1313.2879,1296.4923,1567894.0,000689.SH
20230406,1296.2775,1267.8073,1296.659,1264.6491,2062632.0,000689.SH
20230404,1271.7599,1289.7643,1290.7833,1266.9209,1983322.0,000689.SH
20230403,1290.3307,1283.8189,1291.3259,1272.7533,1864346.0,000689.SH
20230331,1279.6361,1274.8595,1291.5596,1274.266,1222918.0,000689.SH
20230330,1274.1683,1262.8984,1274.3639,1257.686,1190707.0,000689.SH
20230329,1261.4288,1252.971,1266.5568,1252.9634,1388836.0,000689.SH
20230328,1252.3468,1281.6722,1282.3477,1252.0607,1141900.0,000689.SH
20230327,1280.2328,1282.5817,1293.7503,1277.4828,1507023.0,000689.SH
20230324,1282.8635,1289.552,1293.7071,1280.0742,1445967.0,000689.SH
